LUGAR;UBICACION;ESTADO;LUNES_A_VIERNES;SA_DO_FE;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
PARQUE LOS ANDES;ESTACION SALUDABLE;INSTALADO;08:30 A 12:30 Y DE 15:00 A 19:00;09:00 A 18:00;DORREGO AV. Y CORRIENTES AV.;DORREGO AV.;;CHACARITA;COMUNA 15;;;-34.59169943626745;-58.44760059867258
PARQUE CENTENARIO;ESTACION SALUDABLE;INSTALADO;08:00 A 12:00 Y DE 14:30 A 18:30;09:00 A 19:00;DIAZ VELEZ AV. 4800;DIAZ VELEZ AV.;4800;CABALLITO;COMUNA 6;1405;C1405DCP;-34.608665624794405;-58.43480423794467
ROSEDAL;ESTACION SALUDABLE;INSTALADO;08:00 A 12:00 Y DE 15:00 A 19:00;09:00 A 18:00;SARMIENTO AV. E IRAOLA AV.;SARMIENTO AV.;;PALERMO;COMUNA 14;;;-34.57214617085929;-58.41246804358268
RUBEN DARIO;ESTACION SALUDABLE;INSTALADO;08:00 A 21:00;09:00 A 18:00;DEL LIBERTADOR AV. Y AGOTE, LUIS DR.;DEL LIBERTADOR AV.;;RECOLETA;COMUNA 2;;;-34.584050505914036;-58.39391310457418
PARQUE PATRICIOS;ESTACION SALUDABLE;INSTALADO;09:00 A 18:00;09:00 A 18:00;PATAGONES Y MONTEAGUDO;PATAGONES;;PARQUE PATRICIOS;COMUNA 4;;;-34.6383407024078;-58.40540059954495
PARQUE AVELLANEDA;ESTACION SALUDABLE;INSTALADO;08:00 A 12:00 Y DE 13:00 A 17:00;09:00 A 18:00;BILBAO, FRANCISCO AV. Y LACARRA AV.;BILBAO, FRANCISCO AV.;;PARQUE AVELLANEDA;COMUNA 9;;;-34.645225894032876;-58.47496144490592
LAGO DE PALERMO;ESTACION SALUDABLE;INSTALADO;08:00 A 12:00 Y DE 14:00 A 18:00;09:00 A 18:00;BELLO, ANDRES Y TORNQUIST, ERNESTO AV.;BELLO, ANDRES;;PALERMO;COMUNA 14;;;-34.5552653516713;-58.43539105355195
PARQUE CHACABUCO;ESTACION SALUDABLE;INSTALADO;08:00 A 12:00 Y DE 14:30 A 18:30;09:00 A 18:00;ASAMBLEA AV. Y MITRE, EMILIO;ASAMBLEA AV.;;PARQUE CHACABUCO;COMUNA 7;;;-34.635250122395774;-58.43885929980268
PARQUE SAAVEDRA;ESTACION SALUDABLE;INSTALADO;08:30 A 12:30 Y DE 14:30 A 18:30;09:00 A 18:00;GARCIA DEL RIO Y MELIAN AV.;GARCIA DEL RIO;;SAAVEDRA;COMUNA 12;;;-34.55265501330254;-58.48170643496046
PARQUE INDOAMERICANO;ESTACION SALUDABLE;INSTALADO;JUEVES 08:00 A 12:00;09:00 A 18:00;ESCALADA AV. Y CASTAÃ‘ARES AV.;ESCALADA AV.;;VILLA SOLDATI;COMUNA 8;;;-34.66386964865744;-58.46923813928249
PACIFICO;ESTACION SALUDABLE;INSTALADO;08:00 A 20:00;SA 09: A 15:00;SANTA FE AV. Y BULLRICH, INT. AV.;SANTA FE AV.;;PALERMO;COMUNA 14;;;-34.57816529068687;-58.426535018512844
ONCE;ESTACION SALUDABLE;INSTALADO;08:00 A 20:00;SA 09: A 15:00;RIVADAVIA AV. Y PUEYRREDON AV.;RIVADAVIA AV.;;BALVANERA;COMUNA 3;;;-34.6101160941106;-58.40597078622324
PARQUE RIVADAVIA;ESTACION SALUDABLE;INSTALADO;09:00 A 17:00;09:00 A 18:00;RIVADAVIA AV. Y BALCARCE;RIVADAVIA AV.;;SAN NICOLAS;COMUNA 1;;;-34.607777943810525;-58.371091817823924
PLAZA ITALIA;ESTACIONES ECOBICI;INSTALADO;08:00 A 20:00;SA 09: A 15:00;;;;;;;;;
RETIRO;ESTACIONES ECOBICI;INSTALADO;08:00 A 20:00;SA 09: A 15:00;PATRICIAS ARGENTINAS AV. Y FINLAY, CARLOS J. AV.;PATRICIAS ARGENTINAS AV.;;CABALLITO;COMUNA 6;;;-34.60849732517771;-58.43424220632712
PARQUE LEZAMA;EDIFICIOS PUBLICOS;INSTALADO;;;GARCIA, MARTIN AV. 346;GARCIA, MARTIN AV.;346;BOCA;COMUNA 4;1165;C1165ABP;-34.628907726220056;-58.369939130694576
PARQUE PATRICIOS;EDIFICIOS PUBLICOS;INSTALADO;;;PATAGONES Y MONTEAGUDO;PATAGONES;;PARQUE PATRICIOS;COMUNA 4;;;-34.6383407024078;-58.40540059954495
USINA DEL ARTE;EDIFICIOS PUBLICOS;INSTALADO;;;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1;BOCA;COMUNA 4;1157;C1157ADA;-34.628688743036314;-58.35609978740654
CMD;EDIFICIOS PUBLICOS;INSTALADO;;;ALGARROBO 1041;ALGARROBO;1041;BARRACAS;COMUNA 4;1293;C1293ABA;-34.654751393368066;-58.37934145630545